afraid	-0.64	0.60	-0.43
angry	-0.51	0.59	0.25
annoyed	-0.28	0.17	0.04
anxious	0.01	0.59	-0.15
ashamed	-0.57	0.01	-0.34
caring	0.64	0.35	0.24
content	0.86	0.20	0.62
devastated	0.14	0.45	-0.24
disgusted	-0.60	0.35	0.11
embarrassed	-0.46	0.54	-0.24
excited	0.62	0.75	0.38
furious	-0.44	0.72	0.32
grateful	0.64	0.16	-0.21
guilty	-0.57	0.28	-0.34
hopeful	0.51	0.23	0.14
impressed	0.41	0.30	-0.32
joyful	0.76	0.48	0.35
lonely	-0.66	-0.43	-0.32
proud	0.77	0.38	0.65
sad	-0.64	-0.27	-0.33
surprised	0.40	0.67	-0.13
terrified	-0.62	0.82	-0.43
