I remember going to the fireworks with my best friend. There was a lot of people,  but it only felt like us in the world.	sentimental
 i used to scare for darkness	afraid
I showed a guy how to run a good bead in welding class and he caught on quick.	proud
I have always been loyal to my wife.	faithful
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.	terrified
I am very happy to have been first over 300 students during this years at my enginering school	joyful
I once lost my job and got mad.	angry
One year during christmas,  i did not get a single gift. It was a rough day for me.	sad
I was at work,  and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home	jealous
I was home alone. I heard a loud noise come from the kitchen. 	terrified
I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.	grateful
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. 	sad
I had my entire house boarded up when the hurricane came.	prepared
one time when I was in preschool,  I had to write on the board. when I got up,  my pants fell down in front of the class,  that embarassed me	embarrassed
I am so upset and mad. I cant believe what has happened!	angry
Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.	afraid
Last week,  I was watching the world cup,  and watched croatia win from russia	excited
I have someone always asking me questions about how to use mobile.	annoyed
I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts,  it didn't do a thing to fix the miss.	angry
A few years ago,  my marriage broke up,  and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude,  it took a while to get used to it.	lonely
I felt proud when I had accomplished a dream that I wanted to do for a long time. 	proud
When I spend time with my father outside by the fire when we are camping.	sentimental
I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.	joyful
I went to a party and it was real bad. 	ashamed
After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.	guilty
when I was younger,  my parents picked me up from work with a new car,  which really surprised me,  I was so excited to have my own car!	surprised
I get wistful remembering my high school days.	nostalgic
Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this,  and it made me feel better about myself.	confident
I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p	annoyed
I broke a statuette offered by grandmother to my sister.	guilty
I ordered for French fries , bit was served burger, that pissed me off!	furious
There was a situation where I might of hurt my freinds feelings,  I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.	guilty
I was just on vacation in Biloxi. While hanging out on the balcony,  I dropped some chips and then the balcony was swarmed by seagulls.	terrified
My mom took away my game system,  and would not give it back ever again.	furious
One of my friend didn't keep this promise he made to me.	disappointed
There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.	faithful
I look out for all my students,  if they are struggling,  I take however much time they need to understand.	caring
I felt sad when my dog passed away. It was a pet that I had since I was 3 years old,  and was one of the saddest days of my life.	sad
Yesterday,  I was really craving Dairy Queen. So,  I got in my car and went to grab some Blizzards. When I got there,  they were closed. 	disappointed
A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.	grateful
Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.	sentimental
When I was little and I found out that we were going to the amusement park . 	excited
My wife and I took a 3 week trip to New Zealand last year.	excited
I felt caring when I had to pick up and take care of my ailing cousin. His stomach felt bad and he was vomiting all over the place. I helped clean him up and gave him some medicine to make his stomach go back to normal.	caring
